"date","difficulty","median_sec","vs_weekday"
"2017-03-16","Average",1397,-4
"2017-03-17","Hard",1986,5
"2017-03-18","Very Hard",3354,18
"2017-03-19","Average",62,-2
"2017-03-20","Hard",638,2
"2017-03-21","Hard",973,7
"2017-03-22","Very Hard",2385,53
"2017-03-23","Average",1398,-3
"2017-03-24","Very Hard",2431,26
"2017-03-25","Hard",2097,2
"2017-03-26","Average",2894,-6
"2017-03-27","Hard",717,16
"2017-03-28","Very Easy",496,-46
"2017-03-29","Very Hard",1422,18
"2017-03-30","Hard",1715,13
"2017-03-31","Average",1692,-4
"2017-04-01","Very Hard",63,33
"2017-04-02","Hard",73,4
"2017-04-03","Hard",740,4
"2017-04-04","Average",939,0
"2017-04-05","Very Easy",767,-30
"2017-04-06","Hard",1735,10
"2017-04-07","Hard",2692,16
"2017-04-08","Average",2055,-10
"2017-04-09","Hard",90,12
"2017-04-10","Easy",476,-21
"2017-04-11","Very Easy",544,-28
"2017-04-12","Very Easy",716,-35
"2017-04-13","Very Hard",1854,18
"2017-04-14","Average",1792,0
"2017-04-15","Easy",1582,-23
"2017-04-16","Average",3143,-2
"2017-04-17","Average",538,-12
"2017-04-18","Hard",900,5
"2017-04-19","Very Hard",1607,22
"2017-04-20","Very Hard",2488,27
"2017-04-21","Hard",1871,5
"2017-04-22","Easy",1760,-19
"2017-04-23","Average",3319,-6
"2017-04-24","Easy",496,-21
"2017-04-25","Hard",1061,6
"2017-04-26","Average",1112,-11
"2017-04-27","Average",1269,-6
"2017-04-28","Hard",2103,3
"2017-04-29","Average",2509,0
"2017-04-30","Very Hard",99,24
"2017-05-01","Very Hard",888,19
"2017-05-02","Very Hard",1152,18
"2017-05-03","Easy",888,-17
"2017-05-04","Hard",1478,2
"2017-05-05","Hard",2313,8
"2017-05-06","Hard",3054,12
"2017-05-07","Easy",2447,-20
"2017-05-08","Hard",722,3
"2017-05-09","Hard",1331,10
"2017-05-10","Average",904,-9
"2017-05-11","Average",1424,-7
"2017-05-12","Average",2087,-3
"2017-05-13","Hard",3169,7
"2017-05-14","Hard",76,3
"2017-05-15","Average",571,-8
"2017-05-16","Very Hard",1311,25
"2017-05-17","Average",1099,-4
"2017-05-18","Very Hard",2735,17
"2017-05-19","Average",1734,-5
"2017-05-20","Easy",1726,-18
"2017-05-21","Hard",84,15
"2017-05-22","Average",538,-13
"2017-05-23","Average",982,0
"2017-05-24","Very Easy",739,-31
"2017-05-25","Easy",1217,-20
"2017-05-26","Very Easy",830,-54
"2017-05-27","Hard",3082,9
"2017-05-28","Easy",2351,-22
"2017-05-29","Hard",655,5
"2017-05-30","Average",820,-11
"2017-05-31","Hard",1283,12
"2017-06-01","Average",1811,0
"2017-06-02","Average",1843,-2
"2017-06-03","Average",2433,-5
"2017-06-04","Easy",2452,-17
"2017-06-05","Hard",785,5
"2017-06-06","Easy",667,-20
"2017-06-07","Very Easy",631,-36
"2017-06-08","Average",1771,0
"2017-06-09","Average",1839,-4
"2017-06-10","Hard",2759,4
"2017-06-11","Average",2682,-15
"2017-06-12","Average",660,-4
"2017-06-13","Easy",653,-26
"2017-06-14","Hard",1338,9
"2017-06-15","Easy",1330,-20
"2017-06-16","Very Easy",1229,-29
"2017-06-17","Hard",3346,5
"2017-06-18","Average",3355,-2
"2017-06-19","Easy",467,-21
"2017-06-20","Average",926,-2
"2017-06-21","Easy",801,-23
"2017-06-22","Average",1573,-7
"2017-06-23","Easy",1241,-24
"2017-06-24","Hard",3220,9
"2017-06-25","Hard",3527,4
"2017-06-26","Average",650,-3
"2017-06-27","Average",789,-16
"2017-06-28","Average",1072,0
"2017-06-29","Hard",1983,2
"2017-06-30","Hard",2252,3
"2017-07-01","Average",2597,-11
"2017-07-02","Very Hard",111,36
"2017-07-03","Very Easy",445,-31
"2017-07-04","Very Easy",640,-32
"2017-07-05","Hard",1232,9
"2017-07-06","Easy",1283,-19
"2017-07-07","Hard",1954,2
"2017-07-08","Average",2921,-6
"2017-07-09","Average",2828,-15
"2017-07-10","Average",760,0
"2017-07-11","Easy",722,-20
"2017-07-12","Very Hard",1516,23
"2017-07-13","Average",1451,-12
"2017-07-14","Easy",1397,-22
"2017-07-15","Average",2197,-8
"2017-07-16","Average",70,-3
"2017-07-17","Very Easy",433,-33
"2017-07-18","Average",819,-6
"2017-07-19","Average",905,-14
"2017-07-20","Very Hard",3012,29
"2017-07-21","Easy",1265,-20
"2017-07-22","Average",2441,0
"2017-07-23","Average",78,-4
"2017-07-24","Hard",888,14
"2017-07-25","Average",843,0
"2017-07-26","Average",1073,-8
"2017-07-27","Hard",2025,5
"2017-07-28","Very Easy",1013,-36
"2017-07-29","Easy",1768,-21
"2017-07-30","Hard",63,5
"2017-07-31","Average",543,-15
"2017-08-01","Average",723,-10
"2017-08-02","Easy",841,-22
"2017-08-03","Average",1741,-1
"2017-08-04","Hard",1813,7
"2017-08-05","Easy",1648,-23
"2017-08-06","Average",3118,-10
"2017-08-07","Average",570,-14
"2017-08-08","Easy",627,-26
"2017-08-09","Average",948,-13
"2017-08-10","Average",1510,-12
"2017-08-11","Average",1336,-15
"2017-08-12","Hard",3389,11
"2017-08-13","Average",86,-2
"2017-08-14","Easy",521,-21
"2017-08-15","Easy",590,-26
"2017-08-16","Very Easy",696,-31
"2017-08-17","Hard",1895,3
"2017-08-18","Hard",1958,8
"2017-08-19","Hard",3213,12
"2017-08-20","Average",66,-2
"2017-08-21","Average",619,-3
"2017-08-22","Easy",632,-19
"2017-08-23","Very Easy",651,-36
"2017-08-24","Average",1964,-2
"2017-08-25","Average",1280,-15
"2017-08-26","Easy",1753,-19
"2017-08-27","Average",2820,-16
"2017-08-28","Average",539,-12
"2017-08-29","Hard",886,9
"2017-08-30","Very Hard",1394,18
"2017-08-31","Hard",1889,7
"2017-09-01","Average",1708,1
"2017-09-02","Average",2901,1
"2017-09-03","Hard",84,8
"2017-09-04","Very Hard",2899,45
"2017-09-05","Hard",807,3
"2017-09-06","Average",1102,0
"2017-09-07","Hard",2721,3
"2017-09-08","Average",1364,-12
"2017-09-09","Easy",1611,-22
"2017-09-10","Average",80,0
"2017-09-11","Easy",515,-24
"2017-09-12","Hard",847,3
"2017-09-13","Average",918,-15
"2017-09-14","Average",1801,-9
"2017-09-15","Average",1545,-3
"2017-09-16","Very Hard",3596,25
"2017-09-17","Average",3208,-11
"2017-09-18","Very Easy",396,-48
"2017-09-19","Average",865,-3
"2017-09-20","Very Easy",687,-31
"2017-09-21","Very Hard",3287,32
"2017-09-22","Very Hard",2360,25
"2017-09-23","Easy",1812,-17
"2017-09-24","Hard",75,9
"2017-09-25","Average",631,-5
"2017-09-26","Average",754,-6
"2017-09-27","Hard",1125,5
"2017-09-28","Very Easy",944,-48
"2017-09-29","Very Easy",1060,-29
"2017-09-30","Easy",1710,-21
"2017-10-01","Hard",76,10
"2017-10-02","Very Easy",490,-30
"2017-10-03","Average",799,-6
"2017-10-04","Average",1033,0
"2017-10-05","Easy",1265,-24
"2017-10-06","Easy",1398,-18
"2017-10-07","Hard",2934,9
"2017-10-08","Very Easy",1881,-37
"2017-10-09","Average",531,-13
"2017-10-10","Easy",611,-26
"2017-10-11","Hard",1310,15
"2017-10-12","Hard",2010,6
"2017-10-13","Very Easy",1106,-30
"2017-10-14","Easy",1675,-23
"2017-10-15","Hard",63,4
"2017-10-16","Easy",518,-18
"2017-10-17","Average",698,-12
"2017-10-18","Very Hard",1878,28
"2017-10-19","Average",1973,-3
"2017-10-20","Average",1249,-11
"2017-10-21","Average",2412,-2
"2017-10-22","Very Easy",2198,-28
"2017-10-23","Average",581,-10
"2017-10-24","Very Hard",1068,18
"2017-10-25","Very Easy",682,-37
"2017-10-26","Hard",2231,10
"2017-10-27","Average",1381,-8
"2017-10-28","Hard",3471,16
"2017-10-29","Easy",2395,-23
"2017-10-30","Average",536,-13
"2017-10-31","Average",684,-16
"2017-11-01","Average",1147,0
"2017-11-02","Easy",1273,-24
"2017-11-03","Hard",2037,14
"2017-11-04","Average",2244,-8
"2017-11-05","Hard",92,13
"2017-11-06","Average",550,-13
"2017-11-07","Hard",936,4
"2017-11-08","Average",915,-12
"2017-11-09","Hard",2061,2
"2017-11-10","Hard",1894,5
"2017-11-11","Average",2301,-6
"2017-11-12","Hard",61,4
"2017-11-13","Very Hard",857,22
"2017-11-14","Average",840,-6
"2017-11-15","Average",922,-15
"2017-11-16","Easy",1372,-17
"2017-11-17","Very Hard",2568,23
"2017-11-18","Average",1975,-12
"2017-11-19","Average",2589,-12
"2017-11-20","Hard",760,17
"2017-11-21","Average",828,-5
"2017-11-22","Hard",1188,3
"2017-11-23","Hard",2344,11
"2017-11-24","Average",1619,-1
"2017-11-25","Very Hard",66,44
"2017-11-26","Average",3296,-1
"2017-11-27","Average",608,-3
"2017-11-28","Average",761,-10
"2017-11-29","Easy",858,-18
"2017-11-30","Very Easy",1230,-29
"2017-12-01","Very Easy",1115,-31
"2017-12-02","Average",2652,-1
"2017-12-03","Very Hard",86,27
"2017-12-04","Very Easy",457,-28
"2017-12-05","Average",728,-10
"2017-12-06","Average",1125,-7
"2017-12-07","Very Easy",1209,-29
"2017-12-08","Hard",1706,2
"2017-12-09","Average",2210,-9
"2017-12-10","Average",63,-6
"2017-12-11","Very Easy",411,-35
"2017-12-12","Very Hard",1214,17
"2017-12-13","Hard",1229,9
"2017-12-14","Average",1508,-9
"2017-12-15","Very Hard",2317,33
"2017-12-16","Average",2016,-16
"2017-12-17","Average",2897,-5
"2017-12-18","Easy",498,-20
"2017-12-19","Very Hard",1416,32
"2017-12-20","Easy",815,-25
"2017-12-21","Easy",1340,-19
"2017-12-22","Average",1785,-3
"2017-12-23","Average",2076,-8
"2017-12-24","Hard",60,3
"2017-12-25","Hard",670,5
"2017-12-26","Average",778,-11
"2017-12-27","Hard",1129,4
"2017-12-28","Average",1578,-3
"2017-12-29","Hard",2129,14
"2017-12-30","Average",2668,0
"2017-12-31","Hard",77,11
"2018-01-01","Very Hard",1098,34
"2018-01-02","Very Easy",611,-35
"2018-01-03","Average",903,-15
"2018-01-04","Hard",1854,3
"2018-01-05","Hard",2488,5
"2018-01-06","Easy",1967,-19
"2018-01-07","Very Hard",100,27
"2018-01-08","Hard",667,1
"2018-01-09","Hard",1177,5
"2018-01-10","Average",1080,-5
"2018-01-11","Average",1547,-12
"2018-01-12","Very Easy",1048,-42
"2018-01-13","Average",2520,-3
"2018-01-14","Average",3468,-14
"2018-01-15","Easy",493,-24
"2018-01-16","Average",1057,0
"2018-01-17","Hard",1274,11
"2018-01-18","Easy",1248,-23
"2018-01-19","Very Hard",64,58
"2018-01-20","Hard",3122,7
"2018-01-21","Very Easy",2212,-30
"2018-01-22","Average",651,-5
"2018-01-23","Hard",1084,5
"2018-01-24","Average",1056,-3
"2018-01-25","Hard",1657,2
"2018-01-26","Very Easy",1195,-36
"2018-01-27","Average",1981,-12
"2018-01-28","Average",2741,-11
"2018-01-29","Average",590,-9
"2018-01-30","Average",780,-13
"2018-01-31","Average",1199,1
"2018-02-01","Very Easy",1019,-34
"2018-02-02","Average",1812,-5
"2018-02-03","Average",2203,-11
"2018-02-04","Easy",2364,-23
"2018-02-05","Easy",492,-23
"2018-02-06","Very Easy",678,-31
"2018-02-07","Hard",1468,10
"2018-02-08","Average",1254,-14
"2018-02-09","Average",2035,1
"2018-02-10","Average",1877,-14
"2018-02-11","Very Hard",91,30
"2018-02-12","Hard",772,11
"2018-02-13","Hard",1349,16
"2018-02-14","Hard",1329,7
"2018-02-15","Very Hard",2610,23
"2018-02-16","Hard",2809,12
"2018-02-17","Average",2139,-1
"2018-02-18","Average",2861,-9
"2018-02-19","Average",600,-8
"2018-02-20","Average",992,-5
"2018-02-21","Very Easy",790,-33
"2018-02-22","Easy",1144,-26
"2018-02-23","Average",1675,-16
"2018-02-24","Easy",1663,-21
"2018-02-25","Average",2854,-13
"2018-02-26","Easy",504,-26
"2018-02-27","Very Easy",525,-47
"2018-02-28","Very Easy",824,-28
"2018-03-01","Hard",1833,10
"2018-03-02","Very Hard",2850,18
"2018-03-03","Easy",1625,-23
"2018-03-04","Average",3222,-3
"2018-03-05","Very Easy",485,-28
"2018-03-06","Average",848,-13
"2018-03-07","Average",1103,-6
"2018-03-08","Very Easy",1084,-31
"2018-03-09","Easy",1728,-17
"2018-03-10","Average",2049,-4
"2018-03-11","Hard",92,14
"2018-03-12","Very Hard",1417,22
"2018-03-13","Very Easy",547,-34
"2018-03-14","Very Easy",664,-42
"2018-03-15","Average",1382,-9
"2018-03-16","Very Easy",1247,-34
"2018-03-17","Average",2021,-4
"2018-03-18","Average",3546,-5
"2018-03-19","Average",681,-3
"2018-03-20","Average",946,-3
"2018-03-21","Very Easy",670,-40
"2018-03-22","Very Easy",1056,-29
"2018-03-23","Average",1993,0
"2018-03-24","Hard",2561,11
"2018-03-25","Hard",68,4
"2018-03-26","Average",723,1
"2018-03-27","Hard",974,9
"2018-03-28","Average",1219,-1
"2018-03-29","Average",1432,-6
"2018-03-30","Easy",1433,-26
"2018-03-31","Very Hard",3370,35
"2018-04-01","Very Hard",92,19
"2018-04-02","Average",591,-13
"2018-04-03","Hard",1067,8
"2018-04-04","Average",1138,-4
"2018-04-05","Average",1383,-5
"2018-04-06","Very Hard",2435,24
"2018-04-07","Hard",2811,14
"2018-04-08","Average",3386,-4
"2018-04-09","Easy",514,-23
"2018-04-10","Easy",721,-18
"2018-04-11","Very Easy",600,-44
"2018-04-12","Very Hard",2254,31
"2018-04-13","Very Easy",1033,-43
"2018-04-14","Average",1998,-12
"2018-04-15","Easy",2473,-23
"2018-04-16","Average",591,-11
"2018-04-17","Easy",695,-20
"2018-04-18","Hard",1265,10
"2018-04-19","Average",1475,-5
"2018-04-20","Average",1687,-8
"2018-04-21","Very Easy",1432,-31
"2018-04-22","Hard",68,3
"2018-04-23","Easy",524,-18
"2018-04-24","Average",904,-1
"2018-04-25","Hard",1347,16
"2018-04-26","Hard",1918,6
"2018-04-27","Average",1758,-2
"2018-04-28","Average",2305,-1
"2018-04-29","Average",73,-2
"2018-04-30","Average",556,-9
"2018-05-01","Easy",688,-17
"2018-05-02","Hard",1047,4
"2018-05-03","Hard",1650,3
"2018-05-04","Easy",1404,-20
"2018-05-05","Easy",1784,-19
"2018-05-06","Average",3528,-7
"2018-05-07","Average",630,-5
"2018-05-08","Very Easy",502,-44
"2018-05-09","Hard",1078,3
"2018-05-10","Very Easy",1042,-31
"2018-05-11","Average",1538,-11
"2018-05-12","Easy",1585,-20
"2018-05-13","Very Easy",1891,-44
"2018-05-14","Average",572,-10
"2018-05-15","Average",677,-16
"2018-05-16","Average",1053,-1
"2018-05-17","Average",1552,-4
"2018-05-18","Average",1724,-3
"2018-05-19","Average",2201,-2
"2018-05-20","Average",2839,-15
"2018-05-21","Average",667,-4
"2018-05-22","Very Hard",1249,25
"2018-05-23","Hard",1188,8
"2018-05-24","Average",1251,-16
"2018-05-25","Very Easy",1214,-28
"2018-05-26","Very Easy",1455,-30
"2018-05-27","Average",3038,-11
"2018-05-28","Very Hard",1022,27
"2018-05-29","Average",821,-3
"2018-05-30","Average",886,-16
"2018-05-31","Hard",1861,10
"2018-06-01","Average",1788,-5
"2018-06-02","Average",2063,-4
"2018-06-03","Hard",66,2
"2018-06-04","Very Easy",463,-32
"2018-06-05","Hard",1172,17
"2018-06-06","Hard",1338,4
"2018-06-07","Very Hard",2736,32
"2018-06-08","Average",1459,-13
"2018-06-09","Hard",2718,12
"2018-06-10","Hard",65,7
"2018-06-11","Easy",494,-17
"2018-06-12","Very Easy",624,-28
"2018-06-13","Very Easy",794,-28
"2018-06-14","Very Easy",1019,-40
"2018-06-15","Average",1395,-16
"2018-06-16","Easy",1490,-20
"2018-06-17","Average",2673,-14
"2018-06-18","Very Easy",402,-35
"2018-06-19","Average",664,-14
"2018-06-20","Average",1149,-2
"2018-06-21","Average",1512,-16
"2018-06-22","Easy",1132,-25
"2018-06-23","Hard",2119,2
"2018-06-24","Hard",3353,2
"2018-06-25","Easy",496,-17
"2018-06-26","Easy",611,-24
"2018-06-27","Average",1184,-2
"2018-06-28","Hard",1831,5
"2018-06-29","Average",1409,-9
"2018-06-30","Easy",1424,-24
"2018-07-01","Average",3256,-4
"2018-07-02","Very Easy",404,-37
"2018-07-03","Very Easy",483,-41
"2018-07-04","Average",986,-12
"2018-07-05","Hard",1912,12
"2018-07-06","Average",1299,-16
"2018-07-07","Average",1932,-3
"2018-07-08","Average",2895,-6
"2018-07-09","Hard",597,2
"2018-07-10","Average",642,-16
"2018-07-11","Very Easy",694,-35
"2018-07-12","Very Hard",2455,30
"2018-07-13","Easy",1173,-21
"2018-07-14","Hard",2117,1
"2018-07-15","Hard",3337,2
"2018-07-16","Very Easy",420,-33
"2018-07-17","Very Easy",552,-27
"2018-07-18","Hard",1267,12
"2018-07-19","Average",1570,-9
"2018-07-20","Average",1399,-4
"2018-07-21","Hard",2607,13
"2018-07-22","Easy",2174,-26
"2018-07-23","Easy",483,-18
"2018-07-24","Very Hard",1220,36
"2018-07-25","Average",989,-8
"2018-07-26","Very Easy",877,-48
"2018-07-27","Hard",1768,10
"2018-07-28","Very Easy",1227,-33
"2018-07-29","Hard",3521,11
"2018-07-30","Average",555,-6
"2018-07-31","Hard",822,3
"2018-08-01","Very Easy",821,-29
"2018-08-02","Easy",1282,-25
"2018-08-03","Hard",1791,12
"2018-08-04","Hard",2574,15
"2018-08-05","Average",2838,-9
"2018-08-06","Average",569,-3
"2018-08-07","Average",874,-3
"2018-08-08","Very Easy",531,-53
"2018-08-09","Very Easy",989,-41
"2018-08-10","Average",1493,-10
"2018-08-11","Hard",2496,4
"2018-08-12","Very Easy",2080,-30
"2018-08-13","Hard",571,1
"2018-08-14","Very Easy",430,-47
"2018-08-15","Hard",1232,9
"2018-08-16","Easy",1383,-17
"2018-08-17","Hard",1972,9
"2018-08-18","Very Easy",1529,-28
"2018-08-19","Hard",63,13
"2018-08-20","Average",478,-12
"2018-08-21","Hard",1024,17
"2018-08-22","Very Hard",1446,21
"2018-08-23","Very Hard",2179,30
"2018-08-24","Very Hard",2875,37
"2018-08-25","Very Hard",2889,20
"2018-08-26","Average",2541,-15
"2018-08-27","Hard",632,11
"2018-08-28","Average",770,-3
"2018-08-29","Hard",1135,8
"2018-08-30","Hard",1710,4
"2018-08-31","Hard",1849,5
"2018-09-01","Average",2183,0
"2018-09-02","Average",2975,-1
"2018-09-03","Average",480,-13
"2018-09-04","Very Easy",499,-34
"2018-09-05","Easy",798,-25
"2018-09-06","Hard",1844,1
"2018-09-07","Hard",1941,3
"2018-09-08","Average",2038,-2
"2018-09-09","Average",2668,-13
"2018-09-10","Hard",621,8
"2018-09-11","Easy",523,-27
"2018-09-12","Hard",1345,9
"2018-09-13","Easy",1191,-23
"2018-09-14","Very Easy",1127,-34
"2018-09-15","Very Easy",1351,-36
"2018-09-16","Average",2461,-15
"2018-09-17","Very Easy",403,-32
"2018-09-18","Hard",810,3
"2018-09-19","Very Easy",755,-29
"2018-09-20","Very Hard",2600,33
"2018-09-21","Average",1699,-3
"2018-09-22","Average",1955,-9
"2018-09-23","Hard",60,17
"2018-09-24","Average",548,-4
"2018-09-25","Average",780,-4
"2018-09-26","Hard",1172,3
"2018-09-27","Very Easy",1073,-31
"2018-09-28","Easy",1268,-24
"2018-09-29","Average",1869,-10
"2018-09-30","Hard",60,6
"2018-10-01","Very Hard",734,21
"2018-10-02","Very Hard",1464,43
"2018-10-03","Very Easy",707,-29
"2018-10-04","Very Easy",1085,-32
"2018-10-05","Very Easy",1232,-28
"2018-10-06","Average",1891,-7
"2018-10-07","Average",3221,-1
"2018-10-08","Average",542,-13
"2018-10-09","Very Easy",569,-30
"2018-10-10","Hard",1242,16
"2018-10-11","Average",1541,-6
"2018-10-12","Average",1632,-4
"2018-10-13","Hard",2382,1
"2018-10-14","Hard",3370,3
"2018-10-15","Average",539,-11
"2018-10-16","Easy",622,-19
"2018-10-17","Very Easy",722,-35
"2018-10-18","Very Hard",2470,26
"2018-10-19","Easy",1416,-19
"2018-10-20","Very Easy",1420,-29
"2018-10-21","Easy",2434,-17
"2018-10-22","Average",617,0
"2018-10-23","Average",760,-2
"2018-10-24","Hard",1276,5
"2018-10-25","Hard",2176,12
"2018-10-26","Easy",1282,-21
"2018-10-27","Hard",2571,14
"2018-10-28","Easy",2638,-17
"2018-10-29","Average",514,-15
"2018-10-30","Very Hard",1053,18
"2018-10-31","Average",948,-13
"2018-11-01","Hard",2135,8
"2018-11-02","Average",1786,-3
"2018-11-03","Hard",2409,3
"2018-11-04","Average",2892,0
"2018-11-05","Easy",457,-22
"2018-11-06","Average",676,-13
"2018-11-07","Average",1010,-10
"2018-11-08","Average",1408,-15
"2018-11-09","Very Easy",947,-42
"2018-11-10","Average",1859,-8
"2018-11-11","Hard",76,3
"2018-11-12","Average",543,-9
"2018-11-13","Very Hard",1356,34
"2018-11-14","Very Easy",697,-32
"2018-11-15","Average",1735,-3
"2018-11-16","Very Easy",1158,-28
"2018-11-17","Hard",2356,9
"2018-11-18","Hard",3412,1
"2018-11-19","Average",598,-1
"2018-11-20","Very Easy",538,-35
"2018-11-21","Hard",1129,9
"2018-11-22","Average",1705,-7
"2018-11-23","Average",1223,-14
"2018-11-24","Average",1898,-10
"2018-11-25","Hard",3450,3
"2018-11-26","Easy",489,-18
"2018-11-27","Very Easy",618,-29
"2018-11-28","Very Hard",1771,44
"2018-11-29","Hard",2036,7
"2018-11-30","Easy",1086,-24
"2018-12-01","Very Hard",2914,23
"2018-12-02","Hard",65,5
"2018-12-03","Average",527,-13
"2018-12-04","Very Easy",609,-27
"2018-12-05","Very Hard",1759,37
"2018-12-06","Very Easy",960,-43
"2018-12-07","Hard",1847,17
"2018-12-08","Average",1882,-12
"2018-12-09","Very Easy",1886,-37
"2018-12-10","Average",547,-7
"2018-12-11","Average",732,-9
"2018-12-12","Hard",1333,5
"2018-12-13","Easy",1360,-17
"2018-12-14","Easy",1203,-19
"2018-12-15","Average",1798,-16
"2018-12-16","Hard",3510,5
"2018-12-17","Very Easy",404,-33
"2018-12-18","Average",778,-3
"2018-12-19","Easy",909,-23
"2018-12-20","Average",1679,-10
"2018-12-21","Very Hard",2046,21
"2018-12-22","Average",2098,-5
"2018-12-23","Hard",61,5
"2018-12-24","Hard",765,14
"2018-12-25","Very Hard",1048,18
"2018-12-26","Very Easy",591,-48
"2018-12-27","Very Hard",2440,21
"2018-12-28","Very Hard",2568,36
"2018-12-29","Very Easy",1328,-37
"2018-12-30","Hard",60,8
"2018-12-31","Average",494,-10
"2019-01-01","Average",823,-5
"2019-01-02","Average",1194,-2
"2019-01-03","Average",1660,-6
"2019-01-04","Very Hard",2050,18
"2019-01-05","Average",1893,-9
"2019-01-06","Hard",3541,2
"2019-01-07","Hard",612,2
"2019-01-08","Very Easy",567,-34
"2019-01-09","Easy",876,-25
"2019-01-10","Average",1558,-11
"2019-01-11","Easy",1291,-17
"2019-01-12","Easy",1585,-21
"2019-01-13","Very Easy",2297,-29
"2019-01-14","Average",568,-5
"2019-01-15","Very Hard",1279,31
"2019-01-16","Easy",923,-18
"2019-01-17","Easy",1283,-26
"2019-01-18","Very Hard",2305,30
"2019-01-19","Easy",1431,-27
"2019-01-20","Average",2924,-8
"2019-01-21","Easy",458,-21
"2019-01-22","Hard",925,4
"2019-01-23","Very Easy",824,-28
"2019-01-24","Average",1613,-11
"2019-01-25","Average",1503,-10
"2019-01-26","Very Easy",1373,-31
"2019-01-27","Hard",65,7
"2019-01-28","Easy",471,-18
"2019-01-29","Easy",587,-27
"2019-01-30","Easy",893,-20
"2019-01-31","Very Easy",1213,-28
"2019-02-01","Average",1583,-8
"2019-02-02","Hard",2225,12
"2019-02-03","Average",3494,-1
"2019-02-04","Average",487,-15
"2019-02-05","Very Easy",475,-45
"2019-02-06","Easy",969,-18
"2019-02-07","Hard",2169,16
"2019-02-08","Easy",1313,-27
"2019-02-09","Hard",2179,8
"2019-02-10","Average",3049,-9
"2019-02-11","Easy",432,-24
"2019-02-12","Average",687,-16
"2019-02-13","Very Easy",661,-37
"2019-02-14","Easy",1262,-25
"2019-02-15","Average",1857,-2
"2019-02-16","Easy",1417,-21
"2019-02-17","Average",3163,-4
"2019-02-18","Easy",431,-21
"2019-02-19","Average",809,-1
"2019-02-20","Very Easy",624,-35
"2019-02-21","Very Easy",1128,-29
"2019-02-22","Easy",1366,-19
"2019-02-23","Very Easy",1201,-33
"2019-02-24","Very Easy",2087,-32
"2019-02-25","Average",478,-12
"2019-02-26","Hard",926,5
"2019-02-27","Hard",1005,7
"2019-02-28","Hard",1810,2
"2019-03-01","Average",1733,-8
"2019-03-02","Hard",2027,5
"2019-03-03","Average",2883,-9
"2019-03-04","Very Hard",866,38
"2019-03-05","Average",768,-11
"2019-03-06","Very Hard",1270,25
"2019-03-07","Easy",1244,-24
"2019-03-08","Easy",1373,-21
"2019-03-09","Hard",2422,16
"2019-03-10","Average",3324,0
"2019-03-11","Very Easy",395,-34
"2019-03-12","Very Hard",1152,24
"2019-03-13","Very Hard",1316,18
"2019-03-14","Very Hard",2061,22
"2019-03-15","Hard",1905,5
"2019-03-16","Hard",2307,13
"2019-03-17","Average",2662,-13
"2019-03-18","Average",561,0
"2019-03-19","Average",780,-6
"2019-03-20","Average",936,-8
"2019-03-21","Very Easy",956,-38
"2019-03-22","Very Hard",2492,25
"2019-03-23","Very Easy",1294,-28
"2019-03-24","Average",2516,-10
"2019-03-25","Average",518,-6
"2019-03-26","Very Easy",565,-35
"2019-03-27","Very Easy",683,-30
"2019-03-28","Average",1338,-10
"2019-03-29","Average",1747,-5
"2019-03-30","Average",1532,-15
"2019-03-31","Hard",3592,6
"2019-04-01","Easy",397,-27
"2019-04-02","Average",807,-2
"2019-04-03","Easy",774,-17
"2019-04-04","Average",1574,0
"2019-04-05","Average",1526,-12
"2019-04-06","Average",2160,1
"2019-04-07","Easy",2569,-17
"2019-04-08","Average",475,-11
"2019-04-09","Very Hard",1428,52
"2019-04-10","Average",957,-5
"2019-04-11","Average",1659,1
"2019-04-12","Very Easy",1082,-33
"2019-04-13","Very Easy",1250,-30
"2019-04-14","Average",2406,-16
"2019-04-15","Easy",425,-21
"2019-04-16","Average",797,-7
"2019-04-17","Very Easy",510,-47
"2019-04-18","Easy",1217,-20
"2019-04-19","Easy",1273,-22
"2019-04-20","Average",1696,-4
"2019-04-21","Hard",3084,1
"2019-04-22","Average",459,-14
"2019-04-23","Very Easy",575,-33
"2019-04-24","Very Easy",639,-34
"2019-04-25","Hard",1667,5
"2019-04-26","Hard",1825,3
"2019-04-27","Average",1469,-16
"2019-04-28","Average",2632,-5
"2019-04-29","Average",524,-2
"2019-04-30","Very Easy",591,-32
"2019-05-01","Average",793,-12
"2019-05-02","Hard",1666,10
"2019-05-03","Hard",1777,4
"2019-05-04","Very Hard",2314,23
"2019-05-05","Average",2636,-4
"2019-05-06","Average",532,-4
"2019-05-07","Average",836,-7
"2019-05-08","Average",1002,-1
"2019-05-09","Hard",1891,12
"2019-05-10","Easy",1300,-22
"2019-05-11","Average",1707,-8
"2019-05-12","Hard",3234,5
"2019-05-13","Hard",633,5
"2019-05-14","Average",891,0
"2019-05-15","Average",779,-16
"2019-05-16","Hard",1719,4
"2019-05-17","Hard",1869,5
"2019-05-18","Easy",1531,-18
"2019-05-19","Very Hard",64,17
"2019-05-20","Very Hard",690,21
"2019-05-21","Very Easy",562,-35
"2019-05-22","Hard",929,2
"2019-05-23","Average",1430,-12
"2019-05-24","Hard",2072,11
"2019-05-25","Average",1627,-10
"2019-05-26","Hard",3514,4
"2019-05-27","Easy",413,-27
"2019-05-28","Very Easy",526,-37
"2019-05-29","Very Hard",1099,18
