"date","difficulty","median_sec","vs_weekday"
"2015-07-05","Average",3238,-15
"2015-07-06","Easy",492,-19
"2015-07-07","Average",1118,-1
"2015-07-08","Average",1024,-10
"2015-07-09","Hard",2915,0
"2015-07-10","Average",2341,-1
"2015-07-11","Hard",3300,5
"2015-07-12","Average",3599,-9
"2015-07-13","Average",526,-4
"2015-07-14","Average",866,-14
"2015-07-15","Hard",1518,3
"2015-07-16","Average",1968,-16
"2015-07-17","Average",1665,-15
"2015-07-18","Average",2330,-9
"2015-07-19","Hard",84,7
"2015-07-20","Average",577,-5
"2015-07-21","Hard",1077,3
"2015-07-22","Easy",795,-22
"2015-07-23","Very Hard",65,38
"2015-07-24","Average",1575,-17
"2015-07-25","Very Hard",3506,14
"2015-07-26","Hard",89,2
"2015-07-27","Easy",470,-17
"2015-07-28","Hard",1136,0
"2015-07-29","Average",988,-7
"2015-07-30","Hard",3361,6
"2015-07-31","Hard",2494,13
"2015-08-01","Average",2880,-3
"2015-08-02","Average",3391,-6
"2015-08-03","Hard",1052,14
"2015-08-04","Average",854,-14
"2015-08-05","Very Hard",1310,16
"2015-08-06","Easy",1530,-27
"2015-08-07","Easy",1341,-19
"2015-08-08","Very Hard",63,21
"2015-08-09","Easy",2837,-19
"2015-08-10","Average",620,1
"2015-08-11","Average",668,-16
"2015-08-12","Average",899,-16
"2015-08-13","Hard",61,14
"2015-08-14","Average",2383,-1
"2015-08-15","Average",3147,-1
"2015-08-16","Average",80,-2
"2015-08-17","Hard",655,1
"2015-08-18","Very Hard",3065,34
"2015-08-19","Average",868,-11
"2015-08-20","Average",2069,-9
"2015-08-21","Average",1507,-11
"2015-08-22","Average",2787,-8
"2015-08-23","Average",2949,-8
"2015-08-24","Hard",696,7
"2015-08-25","Hard",1368,7
"2015-08-26","Average",962,-12
"2015-08-27","Very Easy",1099,-47
"2015-08-28","Hard",1765,1
"2015-08-29","Average",2374,-8
"2015-08-30","Average",3359,-9
"2015-08-31","Average",535,-11
"2015-09-01","Average",748,-8
"2015-09-02","Average",1005,-16
"2015-09-03","Average",2267,-8
"2015-09-04","Average",1725,-3
"2015-09-05","Very Hard",68,25
"2015-09-06","Hard",65,1
"2015-09-07","Easy",487,-20
"2015-09-08","Average",929,-3
"2015-09-09","Average",1093,-6
"2015-09-10","Easy",1599,-24
"2015-09-11","Hard",1806,1
"2015-09-12","Hard",60,3
"2015-09-13","Hard",77,12
"2015-09-14","Average",492,-14
"2015-09-15","Easy",663,-19
"2015-09-16","Hard",1109,4
"2015-09-17","Hard",2894,5
"2015-09-18","Easy",1328,-22
"2015-09-19","Very Hard",65,14
"2015-09-20","Average",83,-5
"2015-09-21","Average",546,-7
"2015-09-22","Easy",691,-27
"2015-09-23","Hard",1210,6
"2015-09-24","Easy",1519,-21
"2015-09-25","Average",2193,-1
"2015-09-26","Hard",3469,2
"2015-09-27","Very Hard",100,23
"2015-09-28","Average",570,-4
"2015-09-29","Easy",693,-21
"2015-09-30","Very Easy",651,-35
"2015-10-01","Average",1837,-14
"2015-10-02","Hard",2100,3
"2015-10-03","Hard",61,9
"2015-10-04","Hard",62,1
"2015-10-05","Average",577,-11
"2015-10-06","Easy",702,-20
"2015-10-07","Easy",905,-22
"2015-10-08","Average",2031,-1
"2015-10-09","Average",2887,-5
"2015-10-10","Average",61,-1
"2015-10-11","Hard",3540,-1
"2015-10-12","Very Easy",366,-47
"2015-10-13","Very Hard",2971,45
"2015-10-14","Average",1005,-9
"2015-10-15","Very Hard",3408,36
"2015-10-16","Average",2375,-1
"2015-10-17","Average",3161,-15
"2015-10-18","Hard",63,2
"2015-10-19","Hard",674,3
"2015-10-20","Very Easy",504,-44
"2015-10-21","Average",1042,-3
"2015-10-22","Average",1605,-10
"2015-10-23","Average",1714,-2
"2015-10-24","Easy",1982,-22
"2015-10-25","Average",90,-3
"2015-10-26","Average",538,-10
"2015-10-27","Very Easy",633,-34
"2015-10-28","Very Hard",1739,24
"2015-10-29","Very Easy",1116,-35
"2015-10-30","Very Hard",3544,28
"2015-10-31","Very Easy",1457,-41
"2015-11-01","Average",2922,-18
"2015-11-02","Average",557,-14
"2015-11-03","Very Hard",1478,24
"2015-11-04","Easy",726,-26
"2015-11-05","Average",2001,-6
"2015-11-06","Average",2044,-11
"2015-11-07","Easy",2229,-25
"2015-11-08","Very Hard",98,15
"2015-11-09","Very Hard",2831,29
"2015-11-10","Easy",792,-17
"2015-11-11","Average",1057,-11
"2015-11-12","Hard",2957,13
"2015-11-13","Easy",1415,-19
"2015-11-14","Easy",2083,-20
"2015-11-15","Average",78,-6
"2015-11-16","Very Easy",428,-30
"2015-11-17","Average",1341,-3
"2015-11-18","Average",959,-13
"2015-11-19","Average",2098,-2
"2015-11-20","Hard",1999,2
"2015-11-21","Very Easy",1494,-33
"2015-11-22","Average",3264,-14
"2015-11-23","Average",628,-1
"2015-11-24","Average",1033,-14
"2015-11-25","Easy",796,-25
"2015-11-26","Average",3173,-6
"2015-11-27","Easy",1256,-28
"2015-11-28","Average",2957,-1
"2015-11-29","Hard",66,0
"2015-11-30","Very Easy",439,-30
"2015-12-01","Average",786,-13
"2015-12-02","Hard",1524,11
"2015-12-03","Average",1851,-3
"2015-12-04","Average",1496,-14
"2015-12-05","Hard",3328,11
"2015-12-06","Easy",2818,-19
"2015-12-07","Average",648,-9
"2015-12-08","Easy",673,-20
"2015-12-09","Easy",787,-17
"2015-12-10","Hard",2621,4
"2015-12-11","Hard",2449,4
"2015-12-12","Average",2060,-16
"2015-12-13","Average",3259,-17
"2015-12-14","Hard",843,12
"2015-12-15","Average",973,1
"2015-12-16","Very Hard",1727,17
"2015-12-17","Hard",3515,11
